timestamp,time_elapsed,x,y,z,roll,pitch,yaw,lateral_error_pixels,lateral_error_m,distance_traveled
2.082,1.718,0.00902913506390059,1.3559008765077074,-0.0010071930699884907,-1.1842266712877779e-06,0.0031781585284709184,-1.1655142098959934,-313,-0.24453125,0.045323920969461924
2.111,1.7470000000000003,0.009406830985742097,1.3550309667011657,-0.0010072474837563572,-9.119103422967215e-07,0.003178510310686797,-1.1569888603067768,-310,-0.2421875,0.04627228655345001
2.148,1.7840000000000003,0.009753882505180077,1.3542458468085334,-0.0010072987129110117,-4.436870886788401e-07,0.0031788595170327088,-1.1531435993222163,-309,-0.24140625,0.04713069088880205
2.182,1.818,0.010151570520505106,1.353357834505213,-0.0010073140002939823,-1.3108659879490852e-06,0.0031786253339842582,-1.1479218199734718,-307,-0.23984375,0.048103687090429524
2.215,1.851,0.010787983289290698,1.3519601087126645,-0.0010073724367529666,-9.054375950226674e-07,0.0031790309764394478,-1.1385124173778474,-303,-0.23671875,0.049639479590550865
2.251,1.887,0.01162459244873631,1.3501746660595209,-0.0010074299324699734,-5.180296968496438e-07,0.003179436034483718,-1.1258266559624714,-298,-0.2328125,0.05161120988481852
2.286,1.9220000000000002,0.012667053671277139,1.3480297657665457,-0.0010080076404352135,2.5155008322492487e-06,0.00318339708840254,-1.1101071769516224,-293,-0.22890625,0.053996020709036335
2.323,1.959,0.013835401717147998,1.3457221098239933,-0.0010089987066979438,8.830890300152076e-06,0.003191684007947061,-1.0930355579317363,-286,-0.2234375,0.05658258466639122
2.358,1.9940000000000002,0.015005040952902948,1.3435050720476491,-0.001009344855609249,1.0750632442745698e-05,0.0031947017268859467,-1.0764851293153141,-281,-0.21953125,0.05908923830093162
2.393,2.029,0.01620833809136633,1.341311590485482,-0.0010094717192035418,1.1182783039252394e-05,0.003195688321006154,-1.0599667644421393,-275,-0.21484375,0.06159109468509946
2.429,2.065,0.017482870906034394,1.3390833264752626,-0.0010093286086570973,1.0387892862085997e-05,0.0031944877171817985,-1.0430280199259523,-269,-0.21015625,0.06415811521382621
2.466,2.1020000000000003,0.0200068032474036,1.3349104058961385,-0.00100899591135261,9.001890923775894e-06,0.0031915295702603084,-1.0109725551797493,-263,-0.20546875,0.06903510096738262
2.502,2.138,0.021376246430771885,1.3327657274591143,-0.0010091809963223945,1.0592480469258963e-05,0.003193636859902793,-0.9942154083774589,-257,-0.20078125,0.07157970707260022
2.5380000000000003,2.1740000000000004,0.022741919237374602,1.3307017375698817,-0.001008898393918354,8.762577167417363e-06,0.003191035465677569,-0.9779287966974943,-250,-0.1953125,0.0740546043386596
2.574,2.21,0.024141592478714984,1.3286593218871217,-0.0010085487546634547,6.501065931255069e-06,0.003187839167160829,-0.9616362395506157,-244,-0.190625,0.07653059848318189
2.609,2.245,0.025618576927651925,1.3265766393615928,-0.0010079760905472024,3.6799277725194388e-06,0.003183278179273489,-0.9448279543121076,-237,-0.18515625,0.07908384143373419
2.641,2.277,0.027086715863893898,1.3245789900133444,-0.0010076420728484282,1.6041446249820222e-06,0.0031810902995839554,-0.9284790235546232,-231,-0.18046875,0.08156296120790134
2.68,2.3160000000000003,0.028590241899496886,1.3226021669359282,-0.0010073740800591695,1.8111273718419424e-07,0.0031793510046716532,-0.9121119835165217,-224,-0.175,0.08404659161904171
2.715,2.351,0.03017559454376611,1.320588109556892,-0.0010072080084481475,-6.988980096161953e-07,0.0031782731134428325,-0.8952273222170315,-218,-0.1703125,0.08660974790236534
2.75,2.386,0.03174910861823555,1.318656089393062,-0.0010071340106736458,-1.0989342995220994e-06,0.0031777921124665873,-0.8788174151114447,-211,-0.16484375,0.08910146386852198
2.782,2.418,0.0333564632256735,1.3167473133043728,-0.0010071341413370495,-1.1158004584947767e-06,0.0031777914158298637,-0.8623854890132405,-204,-0.159375,0.09159686263240789
2.819,2.455,0.03504744046001199,1.3148058270398348,-0.0010072068135509628,-7.605519606262275e-07,0.0031782605799690598,-0.8454322738226666,-196,-0.153125,0.09417150298058093
2.8529999999999998,2.489,0.03672206242601424,1.3129466439747284,-0.0010073487826181872,-5.055612977084907e-08,0.00317917857104201,-0.8289548923317981,-189,-0.14765625,0.09667368610709183
2.8890000000000002,2.5250000000000004,0.038428991805969315,1.3111131194825154,-0.001007566604770617,1.0488048099877876e-06,0.0031805879864900675,-0.8124552789040488,-181,-0.14140625,0.0991787649425177
2.922,2.5580000000000003,0.04022070619951572,1.3092518282867875,-0.0010078793892252594,2.6361798124473514e-06,0.003182612776214925,-0.7954334159402414,-174,-0.1359375,0.10176229844981646
2.955,2.591,0.04199093508367095,1.3074733340606954,-0.0010082838364283767,4.529566351790513e-06,0.003185294479932972,-0.778893064452514,-166,-0.1296875,0.10427163143181396
2.991,2.6270000000000002,0.04379205566298919,1.305722931003735,-0.0010087913306044034,7.5402834251481435e-06,0.003189810853465947,-0.7623416551030666,-157,-0.12265625,0.10678319393413398
3.026,2.662,0.04568098350310004,1.3039464517014134,-0.0010092187337682364,1.0002786005845632e-05,0.0031935815093033374,-0.7460130204278043,-149,-0.11640625,0.10937624755809221
3.061,2.697,0.04754706332734426,1.3022451997348583,-0.0010093224350359378,1.0356563489577314e-05,0.003194363244529442,-0.7312102548189425,-142,-0.1109375,0.11190142322805242
3.095,2.7310000000000003,0.04943506605499837,1.3005723913607283,-0.0010091455447944382,8.920009744412555e-06,0.0031925862079705447,-0.7171138829206152,-134,-0.1046875,0.11442389070181472
