timestamp,time_elapsed,x,y,z,roll,pitch,yaw,lateral_error_pixels,lateral_error_m,distance_increment
2.392,1.6429999999999998,0.006336178090978044,1.207675042173064,-0.0010059952525932232,-2.4003945589518116e-06,0.009341067539572808,-1.2722622046463479,-277,-0.21640625,0
2.421,1.6719999999999997,0.006336178090978044,1.207675042173064,-0.0010059952525932232,-2.4003945589518116e-06,0.009341067539572808,-1.2722622046463479,-276,-0.215625,0.0
2.445,1.6959999999999997,0.006612595995080149,1.2067835130812212,-0.0010059503140009765,-2.683065630917914e-06,0.009340660821630556,-1.2657823462753015,-275,-0.21484375,0.0009333975462310648
2.484,1.7349999999999999,0.007010426810517336,1.2055348303664086,-0.0010057349208744577,-3.496380977071637e-06,0.009338419249966123,-1.2580489154415935,-273,-0.21328125,0.0013105258028681386
2.525,1.7759999999999998,0.008316077292113427,1.201648103273039,-0.0010058292424361855,-3.129134275030034e-06,0.00933954090637242,-1.2317839372655002,-271,-0.21171875,0.0041001671524981955
2.559,1.81,0.009191919002336396,1.1992163584632,-0.0010061011928967946,-2.0829318172562407e-06,0.009341852045141043,-1.214859789318635,-267,-0.20859375,0.0025846627481250135
2.599,1.85,0.010082194276949867,1.1968686180055295,-0.0010063025697065325,-9.388436053051729e-07,0.00934361765049169,-1.198413835090245,-264,-0.20625,0.002510871426650815
2.651,1.9019999999999997,0.011012080922891456,1.1945328446321157,-0.0010065898143192045,7.215289007833288e-07,0.009346148965096978,-1.1819478578937286,-254,-0.1984375,0.002514065716374386
2.684,1.935,0.012011264076176158,1.1921399291915273,-0.0010069881310369976,3.039121123360948e-06,0.00934966659878441,-1.164964582772136,-246,-0.1921875,0.0025931469838044873
2.7199999999999998,1.9709999999999996,0.013020483840236543,1.1898320400700222,-0.0010074765790118387,5.89418436096175e-06,0.00935398754688998,-1.1484680993616527,-239,-0.18671875,0.0025189038745716155
2.77,2.021,0.015184216453122568,1.1852016586584044,-0.001008238125337936,1.0118340966008849e-05,0.00936062608665563,-1.11500027956017,-229,-0.17890625,0.00511098530981276
2.809,2.06,0.016302801298584895,1.1829541837134063,-0.0010082692201300245,9.985891096940704e-06,0.009360723111972655,-1.0985668214235438,-222,-0.1734375,0.002510453282754376
